2020-11-13 03:50:31	6a02	34,8	17
2020-11-13 03:50:58	8700	19,3	47
2020-11-13 03:51:55	8700	19,3	47
2020-11-13 03:53:49	8700	19,3	47
2020-11-13 03:54:27	6a02	34,8	17
2020-11-13 04:10:16	6a02	34,7	17
2020-11-13 04:11:01	7001	20,5	49
2020-11-13 04:11:52	8700	19,3	47
2020-11-13 04:12:49	8700	19,3	47
2020-11-13 04:13:15	7001	20,5	49
2020-11-13 04:14:12	6a02	34,7	17
2020-11-13 04:14:44	8700	19,3	47
2020-11-13 04:15:31	6a02	34,7	17
2020-11-13 04:15:40	8700	19,3	47
2020-11-13 04:16:36	7001	20,5	48
2020-11-13 04:16:51	6a02	34,7	17
2020-11-13 04:18:09	6a02	34,7	17
2020-11-13 04:18:31	8700	19,3	47
2020-11-13 04:18:50	7001	20,5	48
2020-11-13 04:19:28	6a02	34,6	17
2020-11-13 04:19:57	7001	20,5	48
2020-11-13 04:21:22	8700	19,2	47
2020-11-13 04:22:10	7001	20,5	48
2020-11-13 04:25:10	8700	19,2	47
2020-11-13 05:09:49	8700	19,3	47
2020-11-13 05:11:19	7001	20,5	48
2020-11-13 05:12:41	8700	19,3	47
2020-11-13 05:13:33	7001	20,5	48
2020-11-13 05:14:46	6a02	34,3	18
2020-11-13 05:16:28	8700	19,3	47
2020-11-13 05:39:47	6a02	34,1	18
2020-11-13 05:40:20	7001	20,5	49
2020-11-13 05:41:10	8700	19,2	47
2020-11-13 05:42:08	8700	19,2	47
2020-11-13 05:43:42	7001	20,5	49
2020-11-13 05:44:01	8700	19,2	47
2020-11-13 05:44:58	8700	19,2	47
2020-11-13 05:45:03	6a02	34	18
2020-11-13 05:45:55	7001	20,5	49
2020-11-13 05:47:41	6a02	34	18
2020-11-13 05:47:49	8700	19,2	47
2020-11-13 05:48:10	7001	20,5	49
2020-11-13 05:49:00	6a02	34	18
2020-11-13 05:49:43	8700	19,2	47
2020-11-13 05:50:20	6a02	34	18
2020-11-13 05:50:23	7001	20,5	49
2020-11-13 05:50:41	8700	19,2	47
2020-11-13 05:51:31	7001	20,5	49
2020-11-13 05:51:38	6a02	34	18
2020-11-13 05:51:38	8700	19,2	47
2020-11-13 05:52:35	8700	19,2	47
2020-11-13 05:52:38	7001	20,5	49
2020-11-13 05:52:57	6a02	34	18
2020-11-13 05:53:31	8700	19,2	47
2020-11-13 05:53:45	7001	20,5	49
2020-11-13 05:54:17	6a02	34	18
2020-11-13 05:54:28	8700	19,2	47
2020-11-13 05:55:25	8700	19,2	47
2020-11-13 05:55:35	6a02	34	18
2020-11-13 05:55:59	7001	20,5	49
2020-11-13 05:56:22	8700	19,2	47
2020-11-13 05:56:55	6a02	34	18
2020-11-13 05:57:06	7001	20,5	49
2020-11-13 05:57:20	8700	19,2	47
2020-11-13 05:58:12	7001	20,5	49
2020-11-13 05:59:19	7001	20,4	50
2020-11-13 05:59:32	6a02	34	18
2020-11-13 06:00:27	7001	20,4	50
2020-11-13 06:00:51	6a02	34	18
2020-11-13 06:01:08	8700	19,2	47
